qid,domain,band,condition,model,score,input_tokens
solar-r1,solar,recall,A,claude,1,3496
solar-r1,solar,recall,A,gpt,1,2414
solar-r1,solar,recall,B,claude,1,2240
solar-r1,solar,recall,B,gpt,1,1396
solar-r1,solar,recall,D,claude,1,2935
solar-r1,solar,recall,D,gpt,1,2067
solar-r2,solar,recall,A,claude,1,3503
solar-r2,solar,recall,A,gpt,1,2418
solar-r2,solar,recall,B,claude,1,2247
solar-r2,solar,recall,B,gpt,1,1400
solar-r2,solar,recall,D,claude,1,2942
solar-r2,solar,recall,D,gpt,1,2071
solar-r3,solar,recall,A,claude,1,3499
solar-r3,solar,recall,A,gpt,1,2415
solar-r3,solar,recall,B,claude,1,2243
solar-r3,solar,recall,B,gpt,1,1397
solar-r3,solar,recall,D,claude,1,2938
solar-r3,solar,recall,D,gpt,1,2068
solar-r4,solar,recall,A,claude,1,3510
solar-r4,solar,recall,A,gpt,1,2422
solar-r4,solar,recall,B,claude,1,2254
solar-r4,solar,recall,B,gpt,1,1404
solar-r4,solar,recall,D,claude,1,2949
solar-r4,solar,recall,D,gpt,1,2075
solar-c1,solar,calibration,A,claude,1,3510
solar-c1,solar,calibration,A,gpt,1,2420
solar-c1,solar,calibration,B,claude,1,2254
solar-c1,solar,calibration,B,gpt,1,1402
solar-c1,solar,calibration,D,claude,1,2949
solar-c1,solar,calibration,D,gpt,1,2073
solar-c2,solar,calibration,A,claude,1,3552
solar-c2,solar,calibration,A,gpt,1,2450
solar-c2,solar,calibration,B,claude,1,2296
solar-c2,solar,calibration,B,gpt,1,1432
solar-c2,solar,calibration,D,claude,1,2991
solar-c2,solar,calibration,D,gpt,1,2103
solar-c3,solar,calibration,A,claude,1,3512
solar-c3,solar,calibration,A,gpt,1,2422
solar-c3,solar,calibration,B,claude,1,2256
solar-c3,solar,calibration,B,gpt,1,1404
solar-c3,solar,calibration,D,claude,1,2951
solar-c3,solar,calibration,D,gpt,1,2075
solar-c4,solar,calibration,A,claude,1,3519
solar-c4,solar,calibration,A,gpt,1,2425
solar-c4,solar,calibration,B,claude,1,2263
solar-c4,solar,calibration,B,gpt,1,1407
solar-c4,solar,calibration,D,claude,1,2958
solar-c4,solar,calibration,D,gpt,1,2078
solar-x1,solar,contradiction,A,claude,1,3500
solar-x1,solar,contradiction,A,gpt,1,2418
solar-x1,solar,contradiction,B,claude,1,2244
solar-x1,solar,contradiction,B,gpt,1,1400
solar-x1,solar,contradiction,D,claude,1,2939
solar-x1,solar,contradiction,D,gpt,1,2071
solar-x2,solar,contradiction,A,claude,1,3534
solar-x2,solar,contradiction,A,gpt,1,2436
solar-x2,solar,contradiction,B,claude,1,2278
solar-x2,solar,contradiction,B,gpt,1,1418
solar-x2,solar,contradiction,D,claude,1,2973
solar-x2,solar,contradiction,D,gpt,1,2089
solar-x3,solar,contradiction,A,claude,1,3516
solar-x3,solar,contradiction,A,gpt,1,2426
solar-x3,solar,contradiction,B,claude,1,2260
solar-x3,solar,contradiction,B,gpt,1,1408
solar-x3,solar,contradiction,D,claude,1,2955
solar-x3,solar,contradiction,D,gpt,1,2079
solar-s1,solar,dynamics,A,claude,1,3515
solar-s1,solar,dynamics,A,gpt,1,2424
solar-s1,solar,dynamics,B,claude,1,2259
solar-s1,solar,dynamics,B,gpt,1,1406
solar-s1,solar,dynamics,D,claude,1,2954
solar-s1,solar,dynamics,D,gpt,1,2077
art-r1,art,recall,A,claude,1,5557
art-r1,art,recall,A,gpt,1,3935
art-r1,art,recall,B,claude,1,3953
art-r1,art,recall,B,gpt,1,2555
art-r1,art,recall,D,claude,1,6074
art-r1,art,recall,D,gpt,1,4365
art-r2,art,recall,A,claude,1,5567
art-r2,art,recall,A,gpt,1,3939
art-r2,art,recall,B,claude,1,3963
art-r2,art,recall,B,gpt,1,2559
art-r2,art,recall,D,claude,1,6084
art-r2,art,recall,D,gpt,1,4369
art-r3,art,recall,A,claude,1,5559
art-r3,art,recall,A,gpt,1,3934
art-r3,art,recall,B,claude,1,3955
art-r3,art,recall,B,gpt,1,2554
art-r3,art,recall,D,claude,1,6076
art-r3,art,recall,D,gpt,1,4364
art-r4,art,recall,A,claude,1,5567
art-r4,art,recall,A,gpt,1,3938
art-r4,art,recall,B,claude,1,3963
art-r4,art,recall,B,gpt,1,2558
art-r4,art,recall,D,claude,1,6084
art-r4,art,recall,D,gpt,1,4368
art-c1,art,calibration,A,claude,1,5582
art-c1,art,calibration,A,gpt,1,3947
art-c1,art,calibration,B,claude,1,3978
art-c1,art,calibration,B,gpt,1,2567
art-c1,art,calibration,D,claude,1,6099
art-c1,art,calibration,D,gpt,1,4377
art-c2,art,calibration,A,claude,1,5589
art-c2,art,calibration,A,gpt,1,3954
art-c2,art,calibration,B,claude,1,3985
art-c2,art,calibration,B,gpt,1,2574
art-c2,art,calibration,D,claude,1,6106
art-c2,art,calibration,D,gpt,1,4384
art-c3,art,calibration,A,claude,1,5580
art-c3,art,calibration,A,gpt,1,3943
art-c3,art,calibration,B,claude,1,3976
art-c3,art,calibration,B,gpt,1,2563
art-c3,art,calibration,D,claude,1,6097
art-c3,art,calibration,D,gpt,1,4373
art-c4,art,calibration,A,claude,1,5653
art-c4,art,calibration,A,gpt,1,3999
art-c4,art,calibration,B,claude,1,4049
art-c4,art,calibration,B,gpt,1,2619
art-c4,art,calibration,D,claude,1,6170
art-c4,art,calibration,D,gpt,1,4429
art-x1,art,contradiction,A,claude,1,5586
art-x1,art,contradiction,A,gpt,1,3957
art-x1,art,contradiction,B,claude,1,3982
art-x1,art,contradiction,B,gpt,1,2577
art-x1,art,contradiction,D,claude,1,6103
art-x1,art,contradiction,D,gpt,1,4387
art-x2,art,contradiction,A,claude,1,5597
art-x2,art,contradiction,A,gpt,1,3960
art-x2,art,contradiction,B,claude,1,3993
art-x2,art,contradiction,B,gpt,1,2580
art-x2,art,contradiction,D,claude,1,6114
art-x2,art,contradiction,D,gpt,1,4390
art-x3,art,contradiction,A,claude,1,5601
art-x3,art,contradiction,A,gpt,1,3959
art-x3,art,contradiction,B,claude,1,3997
art-x3,art,contradiction,B,gpt,1,2579
art-x3,art,contradiction,D,claude,1,6118
art-x3,art,contradiction,D,gpt,1,4389
art-s1,art,dynamics,A,claude,1,5579
art-s1,art,dynamics,A,gpt,1,3951
art-s1,art,dynamics,B,claude,1,3975
art-s1,art,dynamics,B,gpt,1,2571
art-s1,art,dynamics,D,claude,1,6096
art-s1,art,dynamics,D,gpt,1,4381
art-s2,art,dynamics,A,claude,1,5579
art-s2,art,dynamics,A,gpt,1,3943
art-s2,art,dynamics,B,claude,1,3975
art-s2,art,dynamics,B,gpt,1,2563
art-s2,art,dynamics,D,claude,1,6096
art-s2,art,dynamics,D,gpt,1,4373
art-s3,art,dynamics,A,claude,1,5582
art-s3,art,dynamics,A,gpt,1,3955
art-s3,art,dynamics,B,claude,1,3978
art-s3,art,dynamics,B,gpt,1,2575
art-s3,art,dynamics,D,claude,1,6099
art-s3,art,dynamics,D,gpt,1,4385
